content,class
fels and emotions in this songod damn,0
i dont think this song wil ever get old ,0
d  this is my favorite song ,0
omg listen to this its so god d,0
i like it ,0
shakira voice sound spanish but that is what make the music sound amazing i love it,0
some clasic ,0
stil this reminds me of  years back when i was do shufle everyday,0
katy is mine the girl of my dreams ,0
you best singer,0
love the way you lie  driveshaft,0
i hav absolutely no idea what hes saying is it even a language,0
nice love it wurk,0
ching ching ling long ding ring ya ganga sty fuck you,0
when is this gona hit  bilion,0
psy  gangnam style 강남스타일 mv ,0
i dont understand this song i have had the pasion for women fel like im losing my mind but i dont understand the ideas of loving the the way someone lies,0
thumbs up if you listen this in ,0
great music anyway,0
stopis a very top ,0
i watched this because of the large amount of views and now i am convinced it is because that girl is so hot,0
oh my god go to  bilion of replay i love shakira,0
if i knew korean this would be even funier at least a bit at the end was  in english but was spoken quite rapidly,0
wow,0
super ,0
i love this song thumsb up to you,0
this is a weird video,0
never get old ,0
im watching this in ,0
who df is lauren benet,0
if you pause at  at the last milisecond you can se that that chick is  about to laugh takes a few tries,0
made five years ago and people stil dont understand the mesage this song is conveying for those of you who dont understand that domestic violence is no game women like the fictional one in this video do exist living their lives with a man who abuses her but stil choses to stay for not the love but for the sexual feling he gives her this is quite sad actualy ,0
made in china,0
fave song,0
eminem the best ,0
and after the video ends a  ft boa constrictor squezes her to death,0
 views awesome ,0
party rockbr ,0
remeber when this song was god,0
anyone else notice that megan fox is in this video,0
amazing song,0
it is  zero,0
whose who are watching this in   like,0
psy is a god guy,0
i love you,0
i love this song i love katy pery,0
hay my is honesty wright i am year old  i love your song thank you for makeing this song i love this song so much sometime harts can get breaken  people kil  they self or go cazy i  love you so much thanks kep on go  make  sure you doing your   dream is comeing rule  god luck,0
why the fuck this keps updated coments  minutes ago song  years and   months ago,0
a href best part,0
where did she find al that make up in a freakin jungle,0
this songvideo is such a triger but its just so god,0
i love this shit but i disliked it because its sucks,0
oh shit this was uploaded on my birthday finaly my birthday isnt a curse because on this day maylaysia airlines went mising so i thought my birthday was a curse xd,0
best song in world,0
awesum song jus luv it,0
this song was god until it got overplayed the hel out of on radio,0
i could hear this for years ,0
its almost katys birthday october th lets say hapy birthday to katy ,0
the perfect example of abuse from husbands and the thing is im a feminist so i definitely agre with this song and welif i se this someones going to die just sayin,0
dont mind me im just checking what the views are up to  ,0
got,0
i love you,0
waka waka she rules,0
best song ever,0
every colaboration betwen them we know it wil be number  ,0
party in da  tonight ,0
this song is true because it is insane because boys wil do this to a girl and it is not true that people say that a guy wil never do it to a girl but boys you liers now stop treating us girls this way you al suck,0
fav,0
this video wil get to  bilion just because of people checking if it has  hit  bilion yet,0
i love this song and expect the world cup ,0
best song ever y,0
very nice ,0
wait i saw a kid not kiding,0
why there are so many dislikes this song is so awesome it sounds like we must stop be racists if i could i would like it  times,0
what does that tato on her right tricep say,0
psy got lots  of money from youtube that he got from  bilion views this  is the most views in the world d,0
let get this video to one bilion views,0
fantastic,0
nice very nice,0
fantastic,0
i love this song up to the mon gt you are rocks,0
watching in ,0
i love this song,0
she is perfect,0
anybody else here in ,0
god video,0
i love this song so muchd ive heard it so much i prety much memorized  the lyrics,0
you are the music hero,0
prehistoric songhas ben,0
lmfao,0
to help shakira become the first female to hit biliom views ive decided to watch this video at least one a day everyday shakifans we r so close just hit the replay buton ,0
col,0
why does a song like this have more views than michael jackson smh,0
just  super,0
i am now going to voyage to the first coment      tel my family i loved them ,0
 milion dislikes,0
every single one of his songs brings me back to place i can never go back to and it hurts so bad inside,0
hahah juyk i always laugh at the part  lol,0
i am a big fan of you and i love you,0
katy has conquerors haki gt,0
is that charlie from lost,0
i hate rap,0
 i love your music ,0
rihana is so beautiful and amazing love her so much forever riri fan       ,0
fuck eminem bieber is the best lt,0
i love  shakira  ,0
im here to check the views holy shit,0
the song is very god but the video makes no sensejust a nonsense  videoi mean she is teling her story of being stuck on an island but  the song doesnt fit in the situationbut nvmthe song is god,0
i came here because of vanos,0
behold the most viewed youtube video in the history of ever,0
this song is just insanebr do you dance listening to this song i do lol,0
omg,0
i loved she is amazing omg your eyes_,0
shakira  waka waka br love this song,0
i lt katy pery,0
i love eminem  lt,0
this video is so col again and again,0
this song is beter then monster by eminem,0
very nice br yeah fucking,0
love this song,0
this song sucks,0
we go for  for eminem,0
its so funy its awesomenes lol a sexy lada,0
